,my_id,pro_id,name,tags,dif,url
0,5616,1267L,Lexicography,"constructive algorithms,strings",,/problemset/problem/1267/L
1,5615,1267K,Key Storage,"combinatorics,math",,/problemset/problem/1267/K
2,5614,1267J,Just Arrange the Icons,"greedy,implementation,math",,/problemset/problem/1267/J
3,5613,1267I,Intriguing Selection,"brute force,constructive algorithms,implementation,interactive,sortings",,/problemset/problem/1267/I
4,5612,1267H,Help BerLine,constructive algorithms,,/problemset/problem/1267/H
5,5611,1267G,Game Relics,"math,probabilities",,/problemset/problem/1267/G
6,5610,1267F,Foolprüf Security,graphs,,/problemset/problem/1267/F
7,5609,1267E,Elections,greedy,,/problemset/problem/1267/E
8,5608,1267D,DevOps Best Practices,constructive algorithms,,/problemset/problem/1267/D
9,5607,1267C,Cactus Revenge,constructive algorithms,,/problemset/problem/1267/C
10,5606,1267B,Balls of Buma,,,/problemset/problem/1267/B
11,5605,1267A,Apprentice Learning Trajectory,,,/problemset/problem/1267/A
12,5604,1265E,Beautiful Mirrors,"data structures,probabilities",2100,/problemset/problem/1265/E
13,5603,1265B,Beautiful Numbers,"data structures,implementation,math,two pointers",1300,/problemset/problem/1265/B
14,5602,1265A,Beautiful String,"constructive algorithms,greedy",1000,/problemset/problem/1265/A
15,5601,1264F,Beautiful Fibonacci Problem,"constructive algorithms,number theory",3600,/problemset/problem/1264/F
16,5600,1264E,Beautiful League,"constructive algorithms,flows,graph matchings",2700,/problemset/problem/1264/E
17,5599,1264D2,Beautiful Bracket Sequence (hard version),"combinatorics,probabilities",3000,/problemset/problem/1264/D2
18,5598,1264D1,Beautiful Bracket Sequence (easy version),"combinatorics,dp,probabilities",2600,/problemset/problem/1264/D1
19,5597,1264C,Beautiful Mirrors with queries,"data structures,probabilities",2400,/problemset/problem/1264/C
20,5596,1264B,Beautiful Sequence,"brute force,constructive algorithms,greedy",1900,/problemset/problem/1264/B
21,5595,1264A,Beautiful Regional Contest,"greedy,implementation",1500,/problemset/problem/1264/A
22,5594,1263F,Economic Difficulties,"data structures,dfs and similar,dp,flows,graphs,trees",2500,/problemset/problem/1263/F
23,5593,1263E,Editor,"data structures,implementation",2000,/problemset/problem/1263/E
24,5592,1263D,Secret Passwords,"dfs and similar,dsu,graphs",1500,/problemset/problem/1263/D
25,5591,1263C,Everyone is a Winner!,"binary search,math,meet-in-the-middle,number theory",1400,/problemset/problem/1263/C
26,5590,1263B,PIN Codes,"greedy,implementation",1400,/problemset/problem/1263/B
27,5589,1263A,Sweet Problem,math,1200,/problemset/problem/1263/A
28,5588,1261F,Xor-Set,"bitmasks,divide and conquer,math",3100,/problemset/problem/1261/F
29,5587,1260F,Colored Tree,"data structures,trees",2700,/problemset/problem/1260/F
30,5586,1260E,Tournament,"brute force,dp,greedy",2400,/problemset/problem/1260/E
31,5585,1260D,A Game with Traps,"binary search,dp,greedy,sortings",1900,/problemset/problem/1260/D
32,5584,1260C,Infinite Fence,"greedy,math,number theory",1700,/problemset/problem/1260/C
33,5583,1260B,Obtain Two Zeroes,"binary search,math",1200,/problemset/problem/1260/B
34,5582,1260A,Heating,math,1000,/problemset/problem/1260/A
35,5581,1257G,Divisor Set,"divide and conquer,fft,greedy,math,number theory",2700,/problemset/problem/1257/G
36,5580,1257F,Make Them Similar,"bitmasks,brute force,hashing,meet-in-the-middle",2400,/problemset/problem/1257/F
37,5579,1257E,The Contest,"data structures,dp,greedy",2000,/problemset/problem/1257/E
38,5578,1257D,Yet Another Monster Killing Problem,"binary search,data structures,dp,greedy,sortings,two pointers",1700,/problemset/problem/1257/D
39,5577,1257C,Dominated Subarray,"greedy,implementation,sortings,strings,two pointers",1200,/problemset/problem/1257/C
40,5576,1257B,Magic Stick,math,1000,/problemset/problem/1257/B
41,5575,1257A,Two Rival Students,"greedy,math",700,/problemset/problem/1257/A
42,5574,1256F,Equalizing Two Strings,"constructive algorithms,sortings,strings",2200,/problemset/problem/1256/F
43,5573,1256E,Yet Another Division Into Teams,"dp,greedy,sortings",2200,/problemset/problem/1256/E
44,5572,1256D,Binary String Minimizing,greedy,1500,/problemset/problem/1256/D
45,5571,1256C,Platforms Jumping,greedy,1700,/problemset/problem/1256/C
46,5570,1256B,Minimize the Permutation,greedy,1400,/problemset/problem/1256/B
47,5569,1256A,Payment Without Change,math,1000,/problemset/problem/1256/A
48,5568,1255C,League of Leesins,"constructive algorithms,implementation",1600,/problemset/problem/1255/C
49,5567,1255B,Fridge Lockers,"graphs,implementation",1200,/problemset/problem/1255/B
50,5566,1255A,Changing Volume,math,800,/problemset/problem/1255/A
51,5565,1254E,Send Tree to Charlie,"combinatorics,dfs and similar,dsu,trees",3200,/problemset/problem/1254/E
52,5564,1254D,Tree Queries,"data structures,probabilities,trees",2600,/problemset/problem/1254/D
